29096  2 7575 1286322
39812  3 10716 1286321
49658  4 9846 1286321
59946  5 10288 1286321
70264  6 10318 1286322
80636  7 10372 1286321
90840  8 10204 1286321
101113  9 10273 1286321
113404  10 12291 1286322
121723  11 8319 1286321
131977  12 10254 1286321
142251  13 10274 1286321
152575  14 10324 1286322
162861  15 10286 1286321
173147  16 10286 1286321
183444  17 10297 1286321
193722  18 10278 1286322
205436  19 11714 1286321
214313  20 8877 1286321
224607  21 10294 1286321
234904  22 10297 1286322
245192  23 10288 1286321
255467  24 10275 1286321
265771  25 10304 1286321
279161  26 13390 1286322
286326  27 7165 1286321
297625  28 11299 1286321
307015  29 9390 1286321
318795  30 11780 1286322
327595  31 8800 1286321
337955  32 10360 1286321
348179  33 10224 1286321
358441  34 10262 1286322
373618  35 15177 1286321
379020  36 5402 1286321
392050  37 13030 1286321
399550  38 7500 1286322
410602  39 11052 1286321
420126  40 9524 1286321
430399  41 10273 1286321
440691  42 10292 1286322
451000  43 10309 1286321
463267  44 12267 1286321
471571  45 8304 1286321
481867  46 10296 1286322
492148  47 10281 1286321
502436  48 10288 1286321
512794  49 10358 1286321
523113  50 10319 1286322
533346  51 10233 1286321
543700  52 10354 1286321
557793  53 14093 1286321
564254  54 6461 1286322
574464  55 10210 1286321
584753  56 10289 1286321
595045  57 10292 1286321
605343  58 10298 1286322
615649  59 10306 1286321
628980  60 13331 1286321
636229  61 7249 1286321
647386  62 11157 1286322
656799  63 9413 1286321
667088  64 10289 1286321
677360  65 10272 1286321
687663  66 10303 1286322
697964  67 10301 1286321
708316  68 10352 1286321
723402  69 15086 1286321
728894  70 5492 1286322
741718  71 12824 1286321
749477  72 7759 1286321
760289  73 10812 1286321
770077  74 9788 1286322
780276  75 10199 1286321
790638  76 10362 1286321
800924  77 10286 1286321
815595  78 14671 1286322
821499  79 5904 1286321
833647  80 12148 1286321
842076  81 8429 1286321
852427  82 10351 1286322
862711  83 10284 1286321
872981  84 10270 1286321
883231  85 10250 1286321
893577  86 10346 1286322
908271  87 14694 1286321
914115  88 5844 1286321
925961  89 11846 1286321
934706  90 8745 1286322
945085  91 10379 1286321
955262  92 10177 1286321
965593  93 10331 1286321
981184  94 15591 1286322
986144  95 4960 1286321
999826  96 13682 1286321
1006768  97 6942 1286321
1017787  98 11019 1286322
1027357  99 9570 1286321
1037663  100 10306 1286321
1047844  101 10181 1286321
1058129  102 10285 1286322
1070728  103 12599 1286321
1078687  104 7959 1286321
1089353  105 10666 1286321
1099265  106 9912 1286322
1109563  107 10298 1286321
1119867  108 10304 1286321
1130161  109 10294 1286321
1140464  110 10303 1286322
1150726  111 10262 1286321
1162968  112 12242 1286321
1171310  113 8342 1286321
1181605  114 10295 1286322
1191890  115 10285 1286321
1202185  116 10295 1286321
1212463  117 10278 1286321
1222781  118 10318 1286322
1233049  119 10268 1286321
1243355  120 10306 1286321
1255024  121 11669 1286321
1263923  122 8899 1286322
1274230  123 10307 1286321
1284539  124 10309 1286321
1294795  125 10256 1286321
1305100  126 10305 1286322
1315397  127 10297 1286321
1328719  128 13322 1286321
1335967  129 7248 1286321
1346994  130 11027 1286322
1356528  131 9534 1286321
1366923  132 10395 1286321
1377170  133 10247 1286321
1387504  134 10334 1286322
1397771  135 10267 1286321
1408059  136 10288 1286321
1423013  137 14954 1286321
1428659  138 5646 1286322
1441268  139 12609 1286321
1449208  140 7940 1286321
1459589  141 10381 1286321
1469791  142 10202 1286322
1480082  143 10291 1286321
1490365  144 10283 1286321
1500707  145 10342 1286321
1514824  146 14117 1286322
1521246  147 6422 1286321
1533227  148 11981 1286321
1541808  149 8581 1286321
1552145  150 10337 1286322
1562402  151 10257 1286321
1572677  152 10275 1286321
1582932  153 10255 1286321
1593284  154 10352 1286322
1604652  155 11368 1286321
1613803  156 9151 1286321
1624095  157 10292 1286321
1634359  158 10264 1286322
1644676  159 10317 1286321
1654948  160 10272 1286321
1665244  161 10296 1286321
1678317  162 13073 1286322
1685810  163 7493 1286321
1696794  164 10984 1286321
1706403  165 9609 1286321
1716701  166 10298 1286322
1726990  167 10289 1286321
1737291  168 10301 1286321
1747574  169 10283 1286321
1757866  170 10292 1286322
1770499  171 12633 1286321
1778438  172 7939 1286321
1788998  173 10560 1286321
1799045  174 10047 1286322
1809328  175 10283 1286321
